S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
-9915.92,1795.52,18.1,22.65,507.66,0.05119646,2931.57,6984.35,0.704357236,2401.26,0.242162099,7349.30722,6691.155197
-9915.92,1795.52,18.1,22.65,507.66,0.05119646,2931.57,6984.35,0.704357236,2401.26,0.242162099,7358.123321,6696.070127
-9914.68,2261.89,18.2,18.45,498.9,0.050319324,2931.15,6983.53,0.704362622,2413.8,0.243457177,7380.939095,6731.342699
-9914.68,2261.89,18.2,18.45,498.9,0.050319324,2931.15,6983.53,0.704362622,2413.8,0.243457177,7410.797881,6747.459871
-9915.13,2430.13,18.17,20.64,492.07,0.049628194,2930.15,6984.98,0.704476895,2417.44,0.243813243,7396.593732,6764.094332
-9915.13,2430.13,18.17,20.64,492.07,0.049628194,2930.15,6984.98,0.704476895,2417.44,0.243813243,7415.302437,6774.319101
-9915.56,2958,18.91,20.91,481.7,0.048580211,2930.7,6984.86,0.704434243,2428.09,0.244876739,7443.099474,6816.731433
-9915.56,2958,18.91,20.91,481.7,0.048580211,2930.7,6984.86,0.704434243,2428.09,0.244876739,7483.137809,6841.069534
-9913.14,3043.37,17.65,21.79,468.29,0.047239321,2930.66,6982.48,0.704366124,2440.58,0.246196462,7453.146325,6851.756356
-9913.14,3043.37,17.65,21.79,468.29,0.047239321,2930.66,6982.48,0.704366124,2440.58,0.246196462,7449.932246,6849.915654
-9910.34,3120.85,17.85,23.1,452.7,0.045679563,2928.24,6982.1,0.704526787,2452.44,0.247462751,7485.168878,6903.463301
-9910.34,3120.85,17.85,23.1,452.7,0.045679563,2928.24,6982.1,0.704526787,2452.44,0.247462751,7481.232963,6901.013935
-9907.82,2985.01,18.28,22.74,439.75,0.044384133,2925.69,6982.13,0.704709008,2463.2,0.248611703,7480.641722,6934.121981
-9907.82,2985.01,18.28,22.74,439.75,0.044384133,2925.69,6982.13,0.704709008,2463.2,0.248611703,7489.357702,6939.995894
-9904.2,2406.04,16.49,24.01,427.29,0.043142303,2923.19,6981.01,0.704853496,2471.89,0.249579976,7495.42236,6979.294808
-9904.2,2406.04,16.49,24.01,427.29,0.043142303,2923.19,6981.01,0.704853496,2471.89,0.249579976,7500.091955,6982.742559
-9900.28,2355.64,16.67,22.33,415.3,0.041948309,2919.77,6980.51,0.705082078,2482.14,0.250714121,7506.254331,7023.755849
-9900.28,2355.64,16.67,22.33,415.3,0.041948309,2919.77,6980.51,0.705082078,2482.14,0.250714121,7499.56987,7018.443353
-9897.05,2896.11,18.66,23.47,403.87,0.040807109,2916.2,6980.85,0.705346543,2488.86,0.251474934,7520.09476,7074.880715
-9897.05,2896.11,18.66,23.47,403.87,0.040807109,2916.2,6980.85,0.705346543,2488.86,0.251474934,7400.68557,6984.401118
-9894.29,3068.77,17.96,28.41,394.53,0.039874513,2913.09,6981.2,0.705578672,2490.15,0.251675461,7414.324028,7028.321423
-9894.29,3068.77,17.96,28.41,394.53,0.039874513,2913.09,6981.2,0.705578672,2490.15,0.251675461,7406.433536,7020.794773
-9892.71,4141.66,18.96,24.8,386.42,0.039061086,2910.68,6982.03,0.705775263,2499.46,0.252656754,7416.935366,7062.584039
-9892.71,4141.66,18.96,24.8,386.42,0.039061086,2910.68,6982.03,0.705775263,2499.46,0.252656754,7413.490862,7058.740038
-9891.33,4144.99,20.26,25.64,379.47,0.038363901,2909.27,6982.06,0.705876763,2504.16,0.253167168,7417.767658,7094.010251
-9891.33,4144.99,20.26,25.64,379.47,0.038363901,2909.27,6982.06,0.705876763,2504.16,0.253167168,7414.144172,7088.927383
-9891.32,4805.44,20.99,22.9,372.89,0.03769871,2908.23,6983.09,0.705981608,2512.44,0.254004521,7416.348665,7116.974156
-9891.32,4805.44,20.99,22.9,372.89,0.03769871,2908.23,6983.09,0.705981608,2512.44,0.254004521,7416.609168,7117.49278
-9888.32,4287.75,20.68,21.13,364.38,0.036849536,2907.77,6980.55,0.705938926,2522.26,0.255074674,7421.945958,7147.87736
-9888.32,4287.75,20.68,21.13,364.38,0.036849536,2907.77,6980.55,0.705938926,2522.26,0.255074674,7416.18699,7131.401356
-9889.64,4327.63,21.44,22,357.36,0.036134783,2905.77,6983.87,0.706180407,2526.41,0.255460259,7426.510982,7168.271296
-9889.64,4327.63,21.44,22,357.36,0.036134783,2905.77,6983.87,0.706180407,2526.41,0.255460259,7425.334404,7163.170544
-9889.89,4064.61,21.41,21.37,352.08,0.035599992,2906.98,6982.91,0.706065487,2533.53,0.256173729,7433.799339,7186.803032
-9889.89,4064.61,21.41,21.37,352.08,0.035599992,2906.98,6982.91,0.706065487,2533.53,0.256173729,7433.882171,7187.459802
-9889.49,2778.51,19.64,21.82,348.5,0.035239431,2907,6982.49,0.706051576,2536.68,0.25650261,7443.540389,7203.921158
-9889.49,2778.51,19.64,21.82,348.5,0.035239431,2907,6982.49,0.706051576,2536.68,0.25650261,7443.56055,7203.565886
-9887.38,2432.13,16.95,22.5,340.39,0.034426714,2906.23,6981.15,0.706066723,2543.34,0.257230935,7454.661934,7231.25358
